date,treas3mo,treas2yr,treas10yr,Aaa,Baa
FEB1970,7.22577383,7.69426667,7.23833333,7.93000031,8.77999973
MAR1970,6.71730751,7.07958571,7.07285714,7.84000015,8.63000011
APR1970,6.60228875,7.25180909,7.39090909,7.82999992,8.69999981
MAY1970,6.93211714,7.90625238,7.90619048,8.10999966,8.97999954
JUN1970,6.76816808,7.79476364,7.84181818,8.47999954,9.25
JUL1970,6.53870151,7.44948636,7.45727273,8.43999958,9.39999962
AUG1970,6.49911872,7.31384286,7.52714286,8.13000011,9.43999958
SEP1970,6.20900666,6.99304762,7.38952381,8.09000015,9.39000034
OCT1970,5.98792299,6.82520952,7.32666667,8.02999973,9.32999992
NOV1970,5.35492415,6.01596667,6.84111111,8.05000019,9.38000011
DEC1970,4.93244703,5.47591364,6.39136364,7.64000034,9.11999989
JAN1971,4.49609377,5.173565,6.2385,7.35999966,8.73999977
FEB1971,3.74594768,4.52240556,6.11222222,7.07999992,8.39000034
MAR1971,3.42398149,4.11391739,5.70347826,7.21000004,8.46000004
APR1971,3.9146595,4.88981429,5.83380952,7.25,8.44999981
MAY1971,4.20009132,5.60548,6.3925,7.52999973,8.61999989
JUN1971,4.81909649,6.01713182,6.52227273,7.64000034,8.75
JUL1971,5.4747981,6.49275238,6.72952381,7.64000034,8.76000023
AUG1971,5.00340575,6.15835455,6.58315455,7.59000015,8.76000023
SEP1971,4.75555395,5.70059048,6.24492381,7.43999958,8.59000015
OCT1971,4.52197034,5.32384211,5.99399474,7.39000034,8.47999954
NOV1971,4.27561306,5.07422,5.972805,7.26000023,8.38000011
DEC1971,4.06480733,4.99176818,6.03709091,7.25,8.38000011
JAN1972,3.43097024,4.78437619,6.031,7.18999958,8.22999954
FEB1972,3.24111362,4.87613,6.121,7.27000046,8.22999954
MAR1972,3.78096742,5.23467727,6.16947273,7.23999977,8.23999977
APR1972,3.7565922,5.57497,6.321915,7.30000019,8.23999977
MAY1972,3.73857571,5.19490455,6.16453182,7.30000019,8.22999954
JUN1972,3.96758335,5.35144091,6.16759091,7.22999954,8.19999981
JUL1972,4.03789811,5.51046,6.147715,7.21000004,8.22999954
AUG1972,4.07364205,5.50410435,6.25929565,7.18999958,8.18999958
SEP1972,4.72468434,5.850435,6.49139,7.22000027,8.09000015
OCT1972,4.80425993,5.906725,6.37594,7.21000004,8.06000042
NOV1972,4.84531484,5.75415,6.28045,7.11999989,7.98999977
DEC1972,5.13979474,5.839805,6.30857,7.07999992,7.93000031
JAN1973,5.48214852,6.17228182,6.39748182,7.14999962,7.89999962
FEB1973,5.67649199,6.49046667,6.59053889,7.22000027,7.97000027
MAR1973,6.17745453,6.88011818,6.68902273,7.28999996,8.02999973
APR1973,6.34913877,6.80609,6.6472,7.26000023,8.09000015
MAY1973,6.44562538,6.86295909,6.75962273,7.28999996,8.06000042
JUN1973,7.28402121,6.95421905,6.7104,7.36999989,8.13000011
JUL1973,8.11962501,7.77028095,7.11345238,7.44999981,8.23999977
AUG1973,8.79271251,8.18505217,7.33361304,7.68000031,8.52999973
SEP1973,8.39916451,7.55193684,7.03546316,7.63000011,8.63000011
OCT1973,7.3168466,6.95348095,6.79285714,7.60000038,8.40999985
NOV1973,7.94017049,7.134195,6.78962,7.67000008,8.42000008
DEC1973,7.55561764,6.91171579,6.73581053,7.68000031,8.47999954
JAN1974,7.87681038,7.04819545,6.95591818,7.82999992,8.47999954
FEB1974,7.22126725,6.69851111,6.95768333,7.85000038,8.52999973
MAR1974,8.07086952,7.41619048,7.25757143,8.01000023,8.61999989
APR1974,8.44933595,8.16775714,7.69473333,8.25,8.86999989
MAY1974,8.338987,8.43287727,7.84150455,8.36999989,9.05000019
JUN1974,8.01062495,8.266945,7.821405,8.47000027,9.27000046
JUL1974,7.65056385,8.53636818,7.94511364,8.72000027,9.47999954
AUG1974,9.08134159,8.85292727,8.31677273,9,9.77000046
SEP1974,8.17284357,8.51186,8.211215,9.23999977,10.18000031
OCT1974,7.56347788,8.02055455,7.75935909,9.27000046,10.47999954
NOV1974,7.57719651,7.61338333,7.5497,8.89000034,10.60000038
DEC1974,7.24974823,7.17490952,7.31134286,8.89000034,10.63000011
JAN1975,6.44318182,7.06475909,7.3562,8.82999992,10.81000042
FEB1975,5.65333333,6.3811,7.24367778,8.61999989,10.64999962
MAR1975,5.6485,6.518115,7.379825,8.67000008,10.47999954
APR1975,5.76818182,7.45178182,7.93336364,8.94999981,10.57999992
MAY1975,5.38,7.03065714,7.80039048,8.89999962,10.68999958
JUN1975,5.50142857,6.82370952,7.62601429,8.77000046,10.61999989
JUL1975,6.32636364,7.49445455,7.79396364,8.84000015,10.55000019
AUG1975,6.65285714,7.98875714,8.0929,8.94999981,10.59000015
SEP1975,6.63095238,8.05789048,8.21328571,8.94999981,10.60999966
OCT1975,6.14636364,7.48180455,8.04097727,8.85999966,10.61999989
NOV1975,5.64352941,7.11317647,7.94319412,8.77999973,10.56000042
DEC1975,5.60954545,7.16240455,7.85851364,8.78999996,10.56000042
JAN1976,5.00904762,6.5828,7.64637143,8.60000038,10.40999985
FEB1976,5.02111111,6.65543333,7.65474444,8.55000019,10.23999977
MAR1976,5.13304348,6.82434783,7.63813043,8.52000046,10.11999989
APR1976,4.9852381,6.50699524,7.47982381,8.39999962,9.93999958
MAY1976,5.3445,7.00026,7.73387,8.57999992,9.85999966
JUN1976,5.55727273,7.04394091,7.72938182,8.61999989,9.89000034
JUL1976,5.37190476,6.82348571,7.69905714,8.56000042,9.81999969
AUG1976,5.28181818,6.60232727,7.62006364,8.44999981,9.64000034
SEP1976,5.22095238,6.40161429,7.49508095,8.38000011,9.39999962
OCT1976,5.0485,6.0162,7.33876,8.31999969,9.28999996
NOV1976,4.87684211,5.8347,7.19641579,8.25,9.22999954
DEC1976,4.45590909,5.41445,6.79337727,7.97999954,9.11999989
JAN1977,4.73619048,5.94470476,7.07925714,7.96000004,9.07999992
FEB1977,4.78526316,6.12783684,7.26881053,8.03999996,9.11999989
MAR1977,4.72130435,6.1206087,7.3369,8.10000038,9.11999989
APR1977,4.6505,5.980875,7.26745,8.03999996,9.06999969
MAY1977,5.08952381,6.25592381,7.38241429,8.05000019,9.01000023
JUN1977,5.15,6.11981364,7.23309545,7.94999981,8.90999985
JUL1977,5.32631579,6.25051053,7.25747895,7.93999958,8.86999989
AUG1977,5.64391304,6.60210435,7.31293043,7.97999954,8.81999969
SEP1977,5.9747619,6.69227619,7.29736667,7.92000008,8.80000019
OCT1977,6.3425,7.09288,7.478705,8.03999996,8.89000034
NOV1977,6.28421053,7.09716842,7.53100526,8.07999992,8.94999981
DEC1977,6.24428571,7.14331905,7.65653333,8.18999958,8.98999977
JAN1978,6.63571429,7.47182,7.93799048,8.40999985,9.17000008
FEB1978,6.64222222,7.52022222,8.00568889,8.47000027,9.19999981
MAR1978,6.48181818,7.52871364,7.99448182,8.47000027,9.22000027
APR1978,6.475,7.718505,8.08152,8.56000042,9.31999969
MAY1978,6.60238095,8.01026667,8.21894762,8.68999958,9.48999977
JUN1978,6.94363636,8.23755455,8.38518636,8.76000023,9.60000038
JUL1978,7.244,8.499125,8.57638,8.88000011,9.60000038
AUG1978,7.30478261,8.33354348,8.33101304,8.68999958,9.47999954
SEP1978,8.111,8.4802,8.35395,8.68999958,9.42000008
OCT1978,8.26571429,8.79709524,8.54698571,8.89000034,9.59000015
NOV1978,8.9565,9.41226,8.70904,9.02999973,9.82999992
DEC1978,9.4135,9.722655,8.932945,9.15999985,9.93999958
JAN1979,9.69227273,9.90885455,9.03384091,9.25,10.13000011
FEB1979,9.67833333,9.59213333,8.98152222,9.26000023,10.07999992
MAR1979,9.86863636,9.66010909,9.04338182,9.36999989,10.26000023
APR1979,9.848,9.64465,9.10823,9.38000011,10.32999992
MAY1979,10.01142857,9.65478571,9.13655238,9.5,10.47000027
JUN1979,9.41666667,9.1003,8.81071429,9.28999996,10.38000011
JUL1979,9.61333333,9.06221905,8.80155238,9.19999981,10.28999996
AUG1979,9.9126087,9.3441913,8.93759565,9.22999954,10.35000038
SEP1979,10.68368421,10.02139474,9.26571579,9.43999958,10.53999996
OCT1979,12.25363636,11.37028182,10.25135,10.13000011,11.39999962
NOV1979,12.34842105,11.55398947,10.57235789,10.76000023,11.98999977
DEC1979,12.613,11.076905,10.302585,10.73999977,12.06000042
JAN1980,12.57136364,11.30678182,10.72664545,11.09000015,12.42000008
FEB1980,13.50105263,13.16248421,12.29762632,12.38000011,13.56999969
MAR1980,16.01571429,14.74274286,12.58852381,12.96000004,14.44999981
APR1980,13.8452381,12.29158095,11.37901905,12.03999996,14.18999958
MAY1980,8.88619048,9.41782381,10.14020476,10.98999977,13.17000008
JUN1980,7.30047619,8.7181,9.62754762,10.57999992,12.71000004
JUL1980,8.33409091,9.09246364,10.02932727,11.06999969,12.64999962
AUG1980,9.47190476,10.54310952,10.96790952,11.64000034,13.14999962
SEP1980,10.68714286,11.5910619,11.46921429,12.02000046,13.69999981
OCT1980,12.13272727,12.06464091,11.75027273,12.31000042,14.22999954
NOV1980,14.40764706,13.31967059,12.57974706,12.97000027,14.64000034
DEC1980,16.31727273,13.81186364,12.70240455,13.21000004,15.14000034
