date,treas3mo,treas2yr,treas10yr,Aaa,Baa
MAY1994,4.2447619,5.99045004,7.27494773,7.99142857,8.62380952
JUN1994,4.23681818,5.92989307,7.18686219,7.96545455,8.64772727
JUL1994,4.438,6.12655268,7.39154059,8.114,8.8035
AUG1994,4.59304348,6.17351908,7.32065872,8.07347826,8.73956522
SEP1994,4.74428571,6.36144166,7.54526332,8.33857143,8.97809524
OCT1994,5.0765,6.72762392,7.79786716,8.56761905,9.2047619
NOV1994,5.434,7.14987243,7.9979298,8.68238095,9.3152381
DEC1994,5.75238095,7.6155381,7.88548095,8.46142857,9.10333333
JAN1995,5.8715,7.52646,7.87968,8.45761905,9.08
FEB1995,5.93421053,7.11196667,7.54388421,8.26,8.85
MAR1995,5.90782609,6.77279374,7.30206604,8.12043478,8.70130435
APR1995,5.83,6.55829277,7.15770132,8.02631579,8.59894737
MAY1995,5.84227273,6.17352884,6.71577015,7.64909091,8.20318182
JUN1995,5.63954545,5.74515105,6.28742124,7.30272727,7.90045455
JUL1995,5.5865,5.81435402,6.3955194,7.4105,8.0385
AUG1995,5.5626087,5.99329111,6.6054424,7.56652174,8.19304348
SEP1995,5.438,5.81681983,6.33375904,7.3165,7.9345
OCT1995,5.43857143,5.72880321,6.14436664,7.12409091,7.75136364
NOV1995,5.51714286,5.51977217,6.0257942,7.01571429,7.6847619
DEC1995,5.2955,5.36182432,5.82507857,6.821,7.4905
JAN1996,5.14238095,5.14680926,5.76797071,6.80772727,7.46590909
FEB1996,4.9645,5.04782156,5.91964327,6.9865,7.6265
MAR1996,5.09428571,5.67404862,6.40956645,7.34619048,8.03619048
APR1996,5.08272727,5.9684419,6.66736432,7.50227273,8.19590909
MAY1996,5.14772727,6.10038572,6.8386682,7.62363636,8.29772727
JUN1996,5.225,6.31479787,6.98409421,7.7095,8.4
JUL1996,5.29454545,6.29635282,6.90834477,7.645,8.35318182
AUG1996,5.18181818,6.03897274,6.67784622,7.46363636,8.17545455
SEP1996,5.2285,6.24505823,6.90480563,7.656,8.345
OCT1996,5.11681818,5.92337502,6.60173598,7.39272727,8.06909091
NOV1996,5.16157895,5.70673367,6.27843602,7.10368421,7.78736842
DEC1996,5.04095238,5.79088202,6.35828934,7.20380952,7.89285714
JAN1997,5.16952381,6.00793004,6.62007857,7.41818182,8.09545455
FEB1997,5.13736842,5.88698526,6.47521108,7.30526316,7.94157895
MAR1997,5.283,6.21505932,6.78578715,7.5595,8.1825
APR1997,5.30227273,6.45214596,6.9769126,7.72590909,8.33681818
MAY1997,5.18285714,6.27378361,6.78720534,7.58571429,8.20285714
JUN1997,5.05714286,6.09903714,6.59209232,7.41047619,8.02047619
JUL1997,5.18863636,5.89540243,6.32144369,7.14045455,7.74727273
AUG1997,5.28190476,5.95097694,6.42176301,7.22142857,7.81666667
SEP1997,5.08333333,5.9028994,6.34767257,7.14809524,7.71285714
OCT1997,5.10409091,5.80283454,6.17733656,6.99772727,7.57181818
NOV1997,5.27722222,5.75549231,5.99623518,6.87055556,7.41888889
DEC1997,5.30181818,5.74962908,5.90425977,6.76636364,7.32590909
JAN1998,5.171,5.39454215,5.66363451,6.6135,7.1965
FEB1998,5.22157895,5.45679924,5.73113628,6.67789474,7.25631579
MAR1998,5.16636364,5.59008882,5.80712111,6.71409091,7.31909091
APR1998,5.08,5.60129528,5.79757295,6.69571429,7.33047619
MAY1998,5.1305,5.6301062,5.82176232,6.697,7.2975
JUN1998,5.10727273,5.56057296,5.66579878,6.53045455,7.13409091
JUL1998,5.09409091,5.50801544,5.61236087,6.55136364,7.14909091
AUG1998,5.03142857,5.33623477,5.46683654,6.52333333,7.14333333
SEP1998,4.72380952,4.79258475,5.01513647,6.40285714,7.08809524
OCT1998,4.05571429,4.29676126,4.8288428,6.37571429,7.18238095
NOV1998,4.52789474,4.67852002,5.07988787,6.40894737,7.33789474
DEC1998,4.50090909,4.60731242,4.94150144,6.21681818,7.22636364
JAN1999,4.44368421,4.70266726,5.07719811,6.23842105,7.28789474
FEB1999,4.54947368,4.94283111,5.34832645,6.39526316,7.38894737
MAR1999,4.56391304,5.1048439,5.58701349,6.62304348,7.53391304
APR1999,4.40272727,5.00877053,5.48679159,6.63727273,7.47909091
MAY1999,4.6265,5.27220683,5.81819156,6.933,7.722
JUN1999,4.69636364,5.64263019,6.18530027,7.23318182,8.015
JUL1999,4.68095238,5.5581965,6.06369089,7.19047619,7.94809524
AUG1999,4.85636364,5.70990279,6.28650116,7.39636364,8.15409091
SEP1999,4.81047619,5.69469641,6.30529447,7.39571429,8.20238095
OCT1999,5.002,5.89394725,6.50846492,7.554,8.378
NOV1999,5.22,5.88807313,6.33820398,7.35761905,8.14904762
DEC1999,5.35136364,6.13075833,6.56835887,7.54636364,8.18727273
JAN2000,5.4695,6.45263088,6.82740845,7.7805,8.3325
FEB2000,5.718,6.61713745,6.70512348,7.677,8.287
MAR2000,5.85521739,6.54456109,6.50373759,7.68173913,8.3673913
APR2000,5.81842105,6.40513978,6.26183102,7.64263158,8.40210526
MAY2000,5.95681818,6.83627789,6.67146992,7.98863636,8.90045455
JUN2000,5.84727273,6.54640779,6.33040621,7.66863636,8.48227273
JUL2000,6.1285,6.40365191,6.23724471,7.6455,8.3465
AUG2000,6.27417391,6.29031775,6.05759104,7.54695652,8.25521739
SEP2000,6.1725,6.11156144,6.05993355,7.6235,8.346
OCT2000,6.2847619,5.98093715,5.95201644,7.54857143,8.34142857
NOV2000,6.3547619,5.94135599,5.89281786,7.45380952,8.27904762
DEC2000,5.933,5.4376081,5.45511515,7.212,8.023
JAN2001,5.28428571,4.86742308,5.38329457,7.15095238,7.92857143
FEB2001,5.00947368,4.74717948,5.35132172,7.10105263,7.87368421
MAR2001,4.53590909,4.4143074,5.17821756,6.97818182,7.84409091
APR2001,3.9655,4.28590851,5.39487706,7.2015,8.0685
MAY2001,3.70272727,4.33550637,5.59776358,7.28863636,8.07181818
JUN2001,3.5647619,4.18116313,5.50712026,7.17761905,7.9747619
JUL2001,3.59238095,4.10762946,5.44388661,7.13428571,7.97
AUG2001,3.4373913,3.817805,5.24049283,7.02043478,7.84869565
SEP2001,2.69176471,3.18967059,5.0484,7.17352941,8.02764706
OCT2001,2.19772727,2.79094091,4.8568,7.02818182,7.90681818
NOV2001,1.9065,2.82909,4.940705,6.9685,7.813
DEC2001,1.72,3.118565,5.403335,6.77,8.04842105
JAN2002,1.6847619,3.03025714,5.32405238,6.54666667,7.86952381
FEB2002,1.75684211,3.01486316,5.23694211,6.50842105,7.89052632
MAR2002,1.8225,3.521155,5.59949,6.8105,8.106
APR2002,1.745,3.39563636,5.48912727,6.76136364,8.03272727
MAY2002,1.76045455,3.24362727,5.39919091,6.75318182,8.08772727
JUN2002,1.732,2.96958,5.15875,6.628,7.95
JUL2002,1.71363636,2.51990909,4.90151364,6.53363636,7.89772727
AUG2002,1.64727273,2.11791364,4.53502273,6.365,7.58181818
SEP2002,1.661,1.979735,4.164105,6.1545,7.396
OCT2002,1.61,1.92398636,4.25241818,6.32181818,7.73363636
NOV2002,1.25473684,1.94037895,4.32511579,6.30631579,7.61736842
DEC2002,1.21095238,1.84301905,4.30927619,6.21428571,7.44857143
JAN2003,1.18904762,1.75627619,4.30055714,6.17333333,7.34761905
FEB2003,1.18526316,1.63877368,4.13788947,5.95105263,7.05684211
MAR2003,1.15095238,1.59187619,4.03792381,5.88619048,6.94904762
APR2003,1.15238095,1.64690476,4.16365238,5.7447619,6.85285714
MAY2003,1.08809524,1.4099,3.74350952,5.21761905,6.37809524
JUN2003,0.93666667,1.22773333,3.50646667,4.96571429,6.19047619
JUL2003,0.92045455,1.50365,4.13555,5.49227273,6.61636364
AUG2003,0.96904762,1.88526667,4.64285714,5.87952381,7.01190476
SEP2003,0.95666667,1.70113333,4.44580952,5.71619048,6.79
OCT2003,0.94090909,1.75401364,4.44580909,5.69772727,6.73272727
NOV2003,0.95222222,1.92308333,4.45186667,5.64833333,6.65777778
DEC2003,0.91545455,1.89653182,4.41164545,5.61954545,6.59636364
JAN2004,0.903,1.750995,4.28013,5.536,6.442
FEB2004,0.94578947,1.73320526,4.21905789,5.50052632,6.26526316
MAR2004,0.95391304,1.56911304,3.96180435,5.32565217,6.11434783
APR2004,0.96190476,2.08865238,4.49659524,5.73095238,6.45904762
MAY2004,1.0435,2.55656,4.87536,6.0375,6.747
JUN2004,1.28666667,2.7767619,4.88394762,6.0147619,6.78380952
JUL2004,1.3547619,2.64413333,4.64075238,5.82285714,6.62238095
AUG2004,1.50727273,2.49815,4.43351818,5.64818182,6.46318182
SEP2004,1.68333333,2.50744286,4.2639,5.45904762,6.26857143
OCT2004,1.7905,2.57024,4.23727,5.468,6.205
NOV2004,2.1085,2.85508,4.32186,5.5155,6.203
DEC2004,2.22727273,3.01718182,4.34166364,5.46954545,6.15363636
JAN2005,2.3825,3.22586,4.315155,5.3575,6.0175
FEB2005,2.59,3.38915789,4.24632632,5.19947368,5.81578947
MAR2005,2.79863636,3.74380455,4.58691364,5.40181818,6.06090909
APR2005,2.84095238,3.67344762,4.42261429,5.32714286,6.04904762
MAY2005,2.89809524,3.64648571,4.22195238,5.15238095,6.00619048
JUN2005,3.03454545,3.64557727,4.07078182,4.96,5.85818182
JUL2005,3.2865,3.8971,4.245485,5.057,5.9525
AUG2005,3.52086957,4.0645087,4.33545217,5.09478261,5.96217391
SEP2005,3.49904762,3.96273333,4.2807619,5.12619048,6.02904762
OCT2005,3.7925,4.309975,4.556775,5.345,6.298
NOV2005,3.9735,4.43768,4.660045,5.415,6.39
DEC2005,3.97714286,4.43184762,4.5715619,5.36952381,6.32095238
JAN2006,4.3365,4.41902,4.50258,5.2945,6.237
FEB2006,4.54421053,4.68937368,4.65915263,5.34789474,6.27
MAR2006,4.62565217,4.77467391,4.82331739,5.52521739,6.41130435
APR2006,4.72368421,4.92130526,5.07325789,5.84210526,6.68052632
MAY2006,4.83545455,4.99568636,5.18649091,5.95136364,6.74545455
JUN2006,4.92136364,5.14721364,5.18157273,5.89136364,6.77954545
JUL2006,5.0765,5.14976,5.14966,5.85,6.762
AUG2006,5.09043478,4.9288913,4.94314783,5.68304348,6.58826087
SEP2006,4.9315,4.783865,4.798065,5.509,6.43
OCT2006,5.04619048,4.8123,4.79939524,5.51,6.42428571
NOV2006,5.07333333,4.7443619,4.6613381,5.33095238,6.20380952
DEC2006,4.977,4.6794,4.63396,5.3225,6.2185
JAN2007,5.1052381,4.88396667,4.82967143,5.40190476,6.34285714
FEB2007,5.16368421,4.85244737,4.79903684,5.38684211,6.27578947
MAR2007,5.08,4.61782273,4.64930455,5.30363636,6.26772727
APR2007,5.00666667,4.70882381,4.7744,5.46714286,6.39333333
MAY2007,4.86772727,4.79265909,4.81561364,5.47454545,6.38545455
JUN2007,4.74190476,5.0075,5.17461429,5.7947619,6.69714286
JUL2007,4.96095238,4.8444,5.08321905,5.73285714,6.65238095
AUG2007,4.3173913,4.35765217,4.79771304,5.7873913,6.65217391
SEP2007,3.99578947,4.05610526,4.62896842,5.73736842,6.59210526
OCT2007,4.00272727,3.9913,4.63227727,5.66090909,6.47954545
NOV2007,3.355,3.36352,4.29991,5.4355,6.395
DEC2007,3.068,3.11828,4.273255,5.492,6.6455
JAN2008,2.82,2.44808095,3.91982381,5.33142857,6.54095238
FEB2008,2.1725,1.961275,3.946475,5.527,6.8235
MAR2008,1.2845,1.609505,3.733365,5.506,6.8925
APR2008,1.315,2.02062273,3.88530454,5.55272727,6.96727273
MAY2008,1.76333333,2.38862381,4.08982384,5.57333333,6.92904762
JUN2008,1.88952381,2.73605715,4.30719051,5.67619048,7.07380952
JUL2008,1.65454545,2.55115456,4.18788641,5.66545455,7.15954545
AUG2008,1.75190476,2.39619999,4.06201906,5.63619048,7.14857143
SEP2008,1.15380952,2.07855237,3.89449998,5.65285714,7.31190476
OCT2008,0.68545455,1.53000911,4.25733184,6.28136364,8.87727273
NOV2008,0.19277778,1.03457779,4.03342779,6.12444444,9.21166667
DEC2008,0.03454545,0.57402727,2.93450001,5.04545455,8.43
